timestamp,symbol,action,state,price,center_price,layer_id,detail,kind,lower_strike,body_strike,upper_strike,width,lower_width,upper_width,wing_mode,dte,source_action,entry_debit_estimate,estimated_total_spread,estimated_spread_ratio,max_acceptable_option_spread,synthetic_chain_state_path,synthetic_chain_report_path
2025-04-15T15:30:00+00:00,SPX,ENTRY_FILTERED,IDLE,5424.04,5430.0,1,Synthetic chain spread gate rejected the modeled entry.,PRIMARY,5330.0,5430.0,5550.0,100.0,100.0,120.0,broken_upper,7,ENTER_PRIMARY,29.7106,4.4094,0.1484,1.35,corridor_outputs\paper_runner\SPX\paper_state.json,corridor_outputs\paper_runner\SPX\paper_daily_report.json
2025-04-15T15:55:00+00:00,SPX,ENTRY_FILTERED,IDLE,5427.51,5425.0,2,Synthetic chain spread gate rejected the modeled entry.,PRIMARY,5325.0,5425.0,5545.0,100.0,100.0,120.0,broken_upper,7,ENTER_PRIMARY,29.7106,4.4094,0.1484,1.35,corridor_outputs\paper_runner\SPX\paper_state.json,corridor_outputs\paper_runner\SPX\paper_daily_report.json
2025-04-15T16:05:00+00:00,SPX,ENTRY_FILTERED,IDLE,5425.7,5425.0,3,Synthetic chain spread gate rejected the modeled entry.,PRIMARY,5325.0,5425.0,5545.0,100.0,100.0,120.0,broken_upper,7,ENTER_PRIMARY,29.7106,4.4094,0.1484,1.35,corridor_outputs\paper_runner\SPX\paper_state.json,corridor_outputs\paper_runner\SPX\paper_daily_report.json
2025-04-15T16:15:00+00:00,SPX,ENTRY_FILTERED,IDLE,5424.74,5425.0,4,Synthetic chain spread gate rejected the modeled entry.,PRIMARY,5325.0,5425.0,5545.0,100.0,100.0,120.0,broken_upper,7,ENTER_PRIMARY,29.7106,4.4094,0.1484,1.35,corridor_outputs\paper_runner\SPX\paper_state.json,corridor_outputs\paper_runner\SPX\paper_daily_report.json
2025-04-15T16:20:00+00:00,SPX,ENTRY_FILTERED,IDLE,5430.35,5425.0,5,Synthetic chain spread gate rejected the modeled entry.,PRIMARY,5325.0,5425.0,5545.0,100.0,100.0,120.0,broken_upper,7,ENTER_PRIMARY,29.7106,4.4094,0.1484,1.35,corridor_outputs\paper_runner\SPX\paper_state.json,corridor_outputs\paper_runner\SPX\paper_daily_report.json
2025-04-15T16:25:00+00:00,SPX,ENTRY_FILTERED,IDLE,5428.09,5430.0,6,Synthetic chain spread gate rejected the modeled entry.,PRIMARY,5330.0,5430.0,5550.0,100.0,100.0,120.0,broken_upper,7,ENTER_PRIMARY,29.7106,4.4094,0.1484,1.35,corridor_outputs\paper_runner\SPX\paper_state.json,corridor_outputs\paper_runner\SPX\paper_daily_report.json
2025-04-15T16:30:00+00:00,SPX,ENTRY_FILTERED,IDLE,5425.86,5430.0,7,Synthetic chain spread gate rejected the modeled entry.,PRIMARY,5330.0,5430.0,5550.0,100.0,100.0,120.0,broken_upper,7,ENTER_PRIMARY,29.7106,4.4094,0.1484,1.35,corridor_outputs\paper_runner\SPX\paper_state.json,corridor_outputs\paper_runner\SPX\paper_daily_report.json
2025-04-15T16:40:00+00:00,SPX,ENTRY_FILTERED,IDLE,5424.9,5425.0,8,Synthetic chain spread gate rejected the modeled entry.,PRIMARY,5325.0,5425.0,5545.0,100.0,100.0,120.0,broken_upper,7,ENTER_PRIMARY,29.7106,4.4094,0.1484,1.35,corridor_outputs\paper_runner\SPX\paper_state.json,corridor_outputs\paper_runner\SPX\paper_daily_report.json
2025-04-15T17:40:00+00:00,SPX,ENTRY_FILTERED,IDLE,5406.77,5420.0,9,Synthetic chain spread gate rejected the modeled entry.,PRIMARY,5320.0,5420.0,5540.0,100.0,100.0,120.0,broken_upper,7,ENTER_PRIMARY,29.7106,4.4094,0.1484,1.35,corridor_outputs\paper_runner\SPX\paper_state.json,corridor_outputs\paper_runner\SPX\paper_daily_report.json
2025-04-15T17:50:00+00:00,SPX,ENTRY_FILTERED,IDLE,5393.71,5420.0,10,Synthetic chain spread gate rejected the modeled entry.,PRIMARY,5320.0,5420.0,5540.0,100.0,100.0,120.0,broken_upper,7,ENTER_PRIMARY,29.7106,4.4094,0.1484,1.35,corridor_outputs\paper_runner\SPX\paper_state.json,corridor_outputs\paper_runner\SPX\paper_daily_report.json
