timestamp,symbol,week_key,action,state,price,center_price,layer_id,detail,kind,body_strike,lower_strike,upper_strike,width,dte,entry_cost,entry_debit,entry_friction_cost,gross_deployment,close_value,gross_close_value,realized_pnl,gross_realized_pnl,close_friction_cost
2025-04-01T20:00:00+00:00,SPX,2025-03-31,ABORT,ABORTED,5632.92,0.0,1,Aborted on trend-dominant week.,INITIAL,-100.0,-250.0,50.0,150.0,,,,,,0.0,0.0,-33.056,-33.0,0.056
2025-04-01T20:00:00+00:00,SPX,2025-03-31,ABORT,ABORTED,5632.92,0.0,2,Aborted on trend-dominant week.,INITIAL,0.0,-150.0,150.0,150.0,,,,,,0.0,0.0,-33.056,-33.0,0.056
2025-04-01T20:00:00+00:00,SPX,2025-03-31,ABORT,ABORTED,5632.92,0.0,3,Aborted on trend-dominant week.,INITIAL,100.0,-50.0,250.0,150.0,,,,,,0.0,0.0,-33.056,-33.0,0.056
2025-04-29T19:00:00+00:00,SPX,2025-04-28,ABORT,ABORTED,5561.66,0.0,4,Aborted on trend-dominant week.,INITIAL,-100.0,-250.0,50.0,150.0,,,,,,0.0,0.0,-33.056,-33.0,0.056
2025-04-29T19:00:00+00:00,SPX,2025-04-28,ABORT,ABORTED,5561.66,0.0,5,Aborted on trend-dominant week.,INITIAL,0.0,-150.0,150.0,150.0,,,,,,0.0,0.0,-33.056,-33.0,0.056
2025-04-29T19:00:00+00:00,SPX,2025-04-28,ABORT,ABORTED,5561.66,0.0,6,Aborted on trend-dominant week.,INITIAL,100.0,-50.0,250.0,150.0,,,,,,0.0,0.0,-33.056,-33.0,0.056
2025-05-06T17:30:00+00:00,SPX,2025-05-05,ABORT,ABORTED,5616.77,0.0,7,Aborted on trend-dominant week.,INITIAL,-100.0,-250.0,50.0,150.0,,,,,,0.0,0.0,-33.056,-33.0,0.056
2025-05-06T17:30:00+00:00,SPX,2025-05-05,ABORT,ABORTED,5616.77,0.0,8,Aborted on trend-dominant week.,INITIAL,0.0,-150.0,150.0,150.0,,,,,,0.0,0.0,-33.056,-33.0,0.056
2025-05-06T17:30:00+00:00,SPX,2025-05-05,ABORT,ABORTED,5616.77,0.0,9,Aborted on trend-dominant week.,INITIAL,100.0,-50.0,250.0,150.0,,,,,,0.0,0.0,-33.056,-33.0,0.056
2025-05-19T16:30:00+00:00,SPX,2025-05-19,ABORT,ABORTED,5950.55,0.0,10,Aborted on trend-dominant week.,INITIAL,-100.0,-250.0,50.0,150.0,,,,,,0.0,0.0,-33.056,-33.0,0.056
2025-05-19T16:30:00+00:00,SPX,2025-05-19,ABORT,ABORTED,5950.55,0.0,11,Aborted on trend-dominant week.,INITIAL,0.0,-150.0,150.0,150.0,,,,,,0.0,0.0,-33.056,-33.0,0.056
2025-05-19T16:30:00+00:00,SPX,2025-05-19,ABORT,ABORTED,5950.55,0.0,12,Aborted on trend-dominant week.,INITIAL,100.0,-50.0,250.0,150.0,,,,,,0.0,0.0,-33.056,-33.0,0.056
2025-05-30T19:00:00+00:00,SPX,2025-05-26,EXIT_WEEK,EXITED,5905.22,0.0,13,Forced weekly exit window reached.,INITIAL,-100.0,-250.0,50.0,150.0,,,,,,0.0,0.0,-33.056,-33.0,0.056
2025-05-30T19:00:00+00:00,SPX,2025-05-26,EXIT_WEEK,EXITED,5905.22,0.0,14,Forced weekly exit window reached.,INITIAL,0.0,-150.0,150.0,150.0,,,,,,0.0,0.0,-33.056,-33.0,0.056
2025-05-30T19:00:00+00:00,SPX,2025-05-26,EXIT_WEEK,EXITED,5905.22,0.0,15,Forced weekly exit window reached.,INITIAL,100.0,-50.0,250.0,150.0,,,,,,0.0,0.0,-33.056,-33.0,0.056
2025-06-06T13:30:00+00:00,SPX,2025-06-02,ABORT,ABORTED,5998.73,0.0,16,Aborted on trend-dominant week.,INITIAL,-100.0,-250.0,50.0,150.0,,,,,,0.0,0.0,-33.056,-33.0,0.056
2025-06-06T13:30:00+00:00,SPX,2025-06-02,ABORT,ABORTED,5998.73,0.0,17,Aborted on trend-dominant week.,INITIAL,0.0,-150.0,150.0,150.0,,,,,,0.0,0.0,-33.056,-33.0,0.056
2025-06-06T13:30:00+00:00,SPX,2025-06-02,ABORT,ABORTED,5998.73,0.0,18,Aborted on trend-dominant week.,INITIAL,100.0,-50.0,250.0,150.0,,,,,,0.0,0.0,-33.056,-33.0,0.056
2025-06-13T13:30:00+00:00,SPX,2025-06-09,EXIT_HOLD,EXITED,6005.27,0.0,19,Holding window reached its maximum trading-day length.,INITIAL,-100.0,-250.0,50.0,150.0,,,,,,0.0,0.0,-33.056,-33.0,0.056
2025-06-13T13:30:00+00:00,SPX,2025-06-09,EXIT_HOLD,EXITED,6005.27,0.0,20,Holding window reached its maximum trading-day length.,INITIAL,0.0,-150.0,150.0,150.0,,,,,,0.0,0.0,-33.056,-33.0,0.056
