timestamp,symbol,action,state,price,center_price,layer_id,detail,kind,lower_strike,body_strike,upper_strike,width,lower_width,upper_width,wing_mode,dte,entry_cost,entry_debit,friction_cost,entry_friction_cost,entry_slippage_cost,entry_commission_cost,paper_spread_entry_penalty,paper_spread_close_penalty,paper_spread_penalty_round_trip,modeled_max_loss,contracts_per_layer,option_multiplier,drift_distance,drift_count,close_value,gross_close_value,realized_pnl,gross_realized_pnl,close_friction_cost,close_slippage_cost,close_commission_cost,stress_profile,primary_return_pct,remaining_dte,sessions_held
2025-04-15T15:30:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5424.04,5430.0,1.0,Opened the primary butterfly corridor layer.,PRIMARY,5310.0,5430.0,5530.0,100.0,120.0,100.0,broken_lower,5.0,35.6058,34.7209,0.8849,0.8849,0.8589,0.026,0.0,0.0,0.0,55.6058,1.0,100.0,,,,,,,,,,,,,
2025-04-15T16:55:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5407.99,5425.0,,Corridor drift started.,,,,,,,,,,,,,,,,,,,,,,17.01,,,,,,,,,,,,
2025-04-15T17:00:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,5413.75,5425.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-15T17:05:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5409.91,5425.0,,Corridor drift started.,,,,,,,,,,,,,,,,,,,,,,15.09,,,,,,,,,,,,
2025-04-15T17:10:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,5411.56,5425.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-15T17:15:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5404.24,5425.0,,Corridor drift started.,,,,,,,,,,,,,,,,,,,,,,20.76,,,,,,,,,,,,
2025-04-15T17:40:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,5406.77,5420.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-15T17:50:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5393.71,5420.0,,Corridor drift started.,,,,,,,,,,,,,,,,,,,,,,26.29,,,,,,,,,,,,
2025-04-15T18:25:00+00:00,SPX,REBUILD_REQUESTED,REBUILD,5392.48,5410.0,,Requested corridor rebuild after sustained drift.,,,,,,,,,,,,,,,,,,,,,,17.52,8.0,,,,,,,,,,,
2025-04-15T18:30:00+00:00,SPX,REBUILT,REBUILD,5399.67,5430.0,1.0,Removed prior layers for rebuild.,PRIMARY,5310.0,5430.0,5530.0,100.0,120.0,100.0,broken_lower,5.0,35.6058,34.7209,,0.8849,,,0.0,0.0,0.0,,1.0,100.0,,,30.4962,31.4364,-5.1096,-3.2845,0.8849,0.8589,0.026,none,,,
2025-04-15T18:30:00+00:00,SPX,REBUILT,ACTIVE_CENTERED,5399.67,5410.0,2.0,Established a fresh primary butterfly corridor layer.,PRIMARY,5290.0,5410.0,5510.0,100.0,120.0,100.0,broken_lower,5.0,35.6058,34.7209,0.8849,0.8849,0.8589,0.026,0.0,0.0,0.0,55.6058,1.0,100.0,,,,,,,,,,,,,
2025-04-16T13:45:00+00:00,SPX,STOP_LOSS,ACTIVE_CENTERED,5335.41,5410.0,2.0,Primary stop-loss reached.,PRIMARY,5290.0,5410.0,5510.0,100.0,120.0,100.0,broken_lower,5.0,35.6058,34.7209,,0.8849,,,0.0,0.0,0.0,,1.0,100.0,,,24.2175,26.0428,-11.3883,-8.6781,0.8849,0.8589,0.026,none,-0.3198,,
2025-04-17T18:40:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5320.44,5310.0,3.0,Opened the primary butterfly corridor layer.,PRIMARY,5190.0,5310.0,5410.0,100.0,120.0,100.0,broken_lower,5.0,35.6058,34.7209,0.8849,0.8849,0.8589,0.026,0.0,0.0,0.0,55.6058,1.0,100.0,,,,,,,,,,,,,
2025-04-17T19:10:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5290.18,5310.0,,Corridor drift started.,,,,,,,,,,,,,,,,,,,,,,19.82,,,,,,,,,,,,
2025-04-17T19:30:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,5296.41,5310.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-21T13:30:00+00:00,SPX,MAX_HOLD,ACTIVE_CENTERED,5221.15,5310.0,3.0,Max-hold DTE threshold reached (remaining_dte=1).,PRIMARY,5190.0,5310.0,5410.0,100.0,120.0,100.0,broken_lower,5.0,35.6058,34.7209,,0.8849,,,0.0,0.0,0.0,,1.0,100.0,,,26.9416,28.2749,-8.6642,-6.446,0.8849,0.8589,0.026,none,,1.0,
2025-04-21T19:00:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5113.92,5120.0,4.0,Opened the primary butterfly corridor layer.,PRIMARY,5000.0,5120.0,5220.0,100.0,120.0,100.0,broken_lower,5.0,35.6058,34.7209,0.8849,0.8849,0.8589,0.026,0.0,0.0,0.0,55.6058,1.0,100.0,,,,,,,,,,,,,
2025-04-21T19:55:00+00:00,SPX,STOP_LOSS,ACTIVE_CENTERED,5157.81,5120.0,4.0,Primary stop-loss reached.,PRIMARY,5000.0,5120.0,5220.0,100.0,120.0,100.0,broken_lower,5.0,35.6058,34.7209,,0.8849,,,0.0,0.0,0.0,,1.0,100.0,,,26.6512,27.5554,-8.9546,-7.1655,0.8849,0.8589,0.026,none,-0.2515,,
2025-04-24T18:15:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5472.15,5460.0,5.0,Opened the primary butterfly corridor layer.,PRIMARY,5340.0,5460.0,5560.0,100.0,120.0,100.0,broken_lower,5.0,35.6058,34.7209,0.8849,0.8849,0.8589,0.026,0.0,0.0,0.0,55.6058,1.0,100.0,,,,,,,,,,,,,
2025-04-24T18:35:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5481.75,5465.0,,Corridor drift started.,,,,,,,,,,,,,,,,,,,,,,16.75,,,,,,,,,,,,
2025-04-24T18:55:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,5478.32,5470.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-25T13:45:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,5473.55,5460.0,5.0,Primary take-profit reached.,PRIMARY,5340.0,5460.0,5560.0,100.0,120.0,100.0,broken_lower,5.0,35.6058,34.7209,,0.8849,,,0.0,0.0,0.0,,1.0,100.0,,,42.8505,44.7002,7.2447,9.9793,0.8849,0.8589,0.026,none,0.2035,,
2025-04-25T14:20:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5471.12,5475.0,6.0,Opened the primary butterfly corridor layer.,PRIMARY,5355.0,5475.0,5575.0,100.0,120.0,100.0,broken_lower,5.0,35.6058,34.7209,0.8849,0.8849,0.8589,0.026,0.0,0.0,0.0,55.6058,1.0,100.0,,,,,,,,,,,,,
2025-04-25T16:20:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5501.89,5485.0,,Corridor drift started.,,,,,,,,,,,,,,,,,,,,,,16.89,,,,,,,,,,,,
2025-04-25T16:55:00+00:00,SPX,REBUILD_REQUESTED,REBUILD,5509.44,5490.0,,Requested corridor rebuild after sustained drift.,,,,,,,,,,,,,,,,,,,,,,19.44,8.0,,,,,,,,,,,
2025-04-25T17:00:00+00:00,SPX,REBUILT,REBUILD,5509.5,5475.0,6.0,Removed prior layers for rebuild.,PRIMARY,5355.0,5475.0,5575.0,100.0,120.0,100.0,broken_lower,5.0,35.6058,34.7209,,0.8849,,,0.0,0.0,0.0,,1.0,100.0,,,28.2221,29.157,-7.3837,-5.564,0.8849,0.8589,0.026,none,,,
2025-04-25T17:00:00+00:00,SPX,REBUILT,ACTIVE_CENTERED,5509.5,5490.0,7.0,Established a fresh primary butterfly corridor layer.,PRIMARY,5370.0,5490.0,5590.0,100.0,120.0,100.0,broken_lower,5.0,35.6058,34.7209,0.8849,0.8849,0.8589,0.026,0.0,0.0,0.0,55.6058,1.0,100.0,,,,,,,,,,,,,
2025-04-25T17:05:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5514.52,5490.0,,Corridor drift started.,,,,,,,,,,,,,,,,,,,,,,24.52,,,,,,,,,,,,
2025-04-25T17:25:00+00:00,SPX,STOP_LOSS,DRIFTING,5527.71,5490.0,7.0,Primary stop-loss reached.,PRIMARY,5370.0,5490.0,5590.0,100.0,120.0,100.0,broken_lower,5.0,35.6058,34.7209,,0.8849,,,0.0,0.0,0.0,,1.0,100.0,,,26.4546,27.3487,-9.1512,-7.3722,0.8849,0.8589,0.026,none,-0.257,,
2025-04-25T18:45:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5522.85,5510.0,8.0,Opened the primary butterfly corridor layer.,PRIMARY,5390.0,5510.0,5610.0,100.0,120.0,100.0,broken_lower,5.0,35.6058,34.7209,0.8849,0.8849,0.8589,0.026,0.0,0.0,0.0,55.6058,1.0,100.0,,,,,,,,,,,,,
2025-04-28T13:30:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,5531.17,5510.0,8.0,Primary take-profit reached.,PRIMARY,5390.0,5510.0,5610.0,100.0,120.0,100.0,broken_lower,5.0,35.6058,34.7209,,0.8849,,,0.0,0.0,0.0,,1.0,100.0,,,67.3268,68.715,31.721,33.994,0.8849,0.8589,0.026,none,0.8909,,
