timestamp,symbol,action,state,price,center_price,layer_id,detail,kind,lower_strike,body_strike,upper_strike,width,lower_width,upper_width,wing_mode,dte,adaptive_selected_wing,adaptive_selection_reason,adaptive_symmetric_spread,adaptive_broken_upper_spread,adaptive_broken_lower_spread,entry_cost,entry_debit,friction_cost,entry_friction_cost,entry_slippage_cost,entry_commission_cost,paper_spread_entry_penalty,paper_spread_close_penalty,paper_spread_penalty_round_trip,modeled_max_loss,contracts_per_layer,option_multiplier,drift_distance,primary_return_pct,close_value,gross_close_value,realized_pnl,gross_realized_pnl,close_friction_cost,close_slippage_cost,close_commission_cost,stress_profile,drift_count,remaining_dte,sessions_held
2025-04-15T15:30:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5424.04,5430.0,1.0,Opened the primary butterfly corridor layer.,PRIMARY,5330.0,5430.0,5550.0,100.0,100.0,120.0,broken_upper,5.0,broken_upper,fallback_to_broken_due_symmetric_spread,4.5133,3.4354,3.4354,35.6058,34.7209,0.8849,0.8849,0.8589,0.026,0.0,0.0,0.0,55.6058,1.0,100.0,,,,,,,,,,,,,
2025-04-15T16:55:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5407.99,5425.0,,Corridor drift started.,,,,,,,,,,,,,,,,,,,,,,,,,,,17.01,,,,,,,,,,,,
2025-04-15T17:00:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,5413.75,5425.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-15T17:05:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5409.91,5425.0,,Corridor drift started.,,,,,,,,,,,,,,,,,,,,,,,,,,,15.09,,,,,,,,,,,,
2025-04-15T17:10:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,5411.56,5425.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-15T17:15:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5404.24,5425.0,,Corridor drift started.,,,,,,,,,,,,,,,,,,,,,,,,,,,20.76,,,,,,,,,,,,
2025-04-15T17:40:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,5406.77,5420.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-15T17:50:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5393.71,5420.0,,Corridor drift started.,,,,,,,,,,,,,,,,,,,,,,,,,,,26.29,,,,,,,,,,,,
2025-04-15T18:10:00+00:00,SPX,STOP_LOSS,DRIFTING,5390.95,5430.0,1.0,Primary stop-loss reached.,PRIMARY,5330.0,5430.0,5550.0,100.0,100.0,120.0,broken_upper,5.0,,,,,,35.6058,34.7209,,0.8849,,,0.0,0.0,0.0,,1.0,100.0,,-0.2507,26.6798,27.6147,-8.926,-7.1062,0.8849,0.8589,0.026,none,,,
2025-04-15T18:15:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5388.47,5415.0,2.0,Opened the primary butterfly corridor layer.,PRIMARY,5315.0,5415.0,5535.0,100.0,100.0,120.0,broken_upper,5.0,broken_upper,fallback_to_broken_due_symmetric_spread,4.5133,3.4354,3.4354,35.6058,34.7209,0.8849,0.8849,0.8589,0.026,0.0,0.0,0.0,55.6058,1.0,100.0,,,,,,,,,,,,,
2025-04-15T18:20:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5391.28,5415.0,,Corridor drift started.,,,,,,,,,,,,,,,,,,,,,,,,,,,23.72,,,,,,,,,,,,
2025-04-15T18:30:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,5399.67,5410.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-16T13:30:00+00:00,SPX,STOP_LOSS,ACTIVE_CENTERED,5347.63,5415.0,2.0,Primary stop-loss reached.,PRIMARY,5315.0,5415.0,5535.0,100.0,100.0,120.0,broken_upper,5.0,,,,,,35.6058,34.7209,,0.8849,,,0.0,0.0,0.0,,1.0,100.0,,-0.4036,21.2337,23.059,-14.3721,-11.6619,0.8849,0.8589,0.026,none,,,
2025-04-17T18:40:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5320.44,5310.0,3.0,Opened the primary butterfly corridor layer.,PRIMARY,5210.0,5310.0,5430.0,100.0,100.0,120.0,broken_upper,5.0,broken_upper,fallback_to_broken_due_symmetric_spread,4.5133,3.4354,3.4354,35.6058,34.7209,0.8849,0.8849,0.8589,0.026,0.0,0.0,0.0,55.6058,1.0,100.0,,,,,,,,,,,,,
2025-04-17T19:10:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5290.18,5310.0,,Corridor drift started.,,,,,,,,,,,,,,,,,,,,,,,,,,,19.82,,,,,,,,,,,,
